"OriginalName","Organizations","Type","CleanName","CleanNameNoMiddle","IsDuplicate",
"Stefanson, Eric Lorne","VIA Rail Canada Inc.","Govenor In Council Appointments","Stefanson, Eric Lorne","Stefanson, Eric","n",
"Graham, William Alvin","Windsor-Detroit Bridge Authority","Govenor In Council Appointments","Graham, William Alvin","Graham, William","n",
"Larsen, Edward Clarke (Ted)","Halifax Port Authority","Govenor In Council Appointments","Larsen, Edward Clarke","Larsen, Edward","duplicate",
"McLean, Edward Laughlin D.","Roosevelt Campobello International Park Commission","Govenor In Council Appointments","McLean, Edward Laughlin","McLean, Edward","n",
"Ritchie, Brian Gregory","Atlantic Pilotage Authority","Govenor In Council Appointments","Ritchie, Brian Gregory","Ritchie, Brian","n",
"Andrew, Judith Anne","Canada Employment Insurance Commission","Govenor In Council Appointments","Andrew, Judith Anne","Andrew, Judith","n",
"Hames, Elliott Clinton Eric","Canada Lands Company Limited","Govenor In Council Appointments","Hames, Elliott Clinton Eric","Hames, Elliott","n",
"McCoomb, Lloyd Alexander","Canadian Air Transport Security Authority","Govenor In Council Appointments","McCoomb, Lloyd Alexander","McCoomb, Lloyd","n",
"Galway, Leslie Elizabeth","Canadian Centre for Occupational Health and Safety","Govenor In Council Appointments","Galway, Leslie Elizabeth","Galway, Leslie","n",
"Rowan, Shelley Anne","Canadian Centre for Occupational Health and Safety","Govenor In Council Appointments","Rowan, Shelley Anne","Rowan, Shelley","n",
"Sairanen, Sari Hannele","Canadian Centre for Occupational Health and Safety","Govenor In Council Appointments","Sairanen, Sari Hannele","Sairanen, Sari","n",
"Langtry, David William","Canadian Human Rights Commission","Govenor In Council Appointments","Langtry, David William","Langtry, David","n",
"Lustig, Edward Peter","Canadian Human Rights Tribunal","Govenor In Council Appointments","Lustig, Edward Peter","Lustig, Edward","n",
"Salci, Raymond Theodore","Citizenship Commission","Govenor In Council Appointments","Salci, Raymond Theodore","Salci, Raymond","n",
"Burr, Kristine Charlotte","Detroit River Crossing International Authority","Govenor In Council Appointments","Burr, Kristine Charlotte","Burr, Kristine","n",
"Priddle, Doris Armitage","Farm Credit Canada","Govenor In Council Appointments","Priddle, Doris Armitage","Priddle, Doris","n",
"Atkinson, Gary Laverne","Federal Bridge Corporation Limited (The)","Govenor In Council Appointments","Atkinson, Gary Laverne","Atkinson, Gary","n",
"Graham, Connie Lois","Federal Bridge Corporation Limited (The)","Govenor In Council Appointments","Graham, Connie Lois","Graham, Connie","n",
"Lemire, Robert Fernand","Great Lakes Pilotage Authority","Govenor In Council Appointments","Lemire, Robert Fernand","Lemire, Robert","n",
"Siteman, Lantz Henry","Halifax Port Authority","Govenor In Council Appointments","Siteman, Lantz Henry","Siteman, Lantz","n",
"Savage, Robert Paul","Hamilton Port Authority","Govenor In Council Appointments","Savage, Robert Paul","Savage, Robert","n",
"Zwicker, Donna Joy Alexander","Historic Sites and Monuments Board of Canada","Govenor In Council Appointments","Zwicker, Donna Joy Alexander","Zwicker, Donna","n",
"Cheung, Teresa Tak Yan","Immigration and Refugee Board","Govenor In Council Appointments","Cheung, Teresa Tak Yan","Cheung, Teresa","n",
"Garner, Robert Sinclair","Immigration and Refugee Board","Govenor In Council Appointments","Garner, Robert Sinclair","Garner, Robert","n",
"Sokolyk, Diane Elizabeth","Immigration and Refugee Board","Govenor In Council Appointments","Sokolyk, Diane Elizabeth","Sokolyk, Diane","n",
"Duggan, Sharon Ruth","Marine Atlantic Inc.","Govenor In Council Appointments","Duggan, Sharon Ruth","Duggan, Sharon","n",
"Séguin, Joseph Donat Michel","Military Police Complaints Commission","Govenor In Council Appointments","Séguin, Joseph Donat Michel","Séguin, Joseph","n",
"Jenkins, Moira Jane","Nanaimo Port Authority","Govenor In Council Appointments","Jenkins, Moira Jane","Jenkins, Moira","n",
"Walcot, Donald Thomas","National Arts Centre Corporation","Govenor In Council Appointments","Walcot, Donald Thomas","Walcot, Donald","n",
"Mills, Russell Andrew","National Capital Commission","Govenor In Council Appointments","Mills, Russell Andrew","Mills, Russell","n",
"Wister, Andrew Victor","National Seniors Council","Govenor In Council Appointments","Wister, Andrew Victor","Wister, Andrew","n",
"Sapers, Howard Ian","Office of the Correctional Investigator of Canada","Govenor In Council Appointments","Sapers, Howard Ian","Sapers, Howard","n",
"Mackie, Norman Rae","Oshawa Port Authority","Govenor In Council Appointments","Mackie, Norman Rae","Mackie, Norman","n",
"Bernard, Peter Goodwin","Pacific Pilotage Authority","Govenor In Council Appointments","Bernard, Peter Goodwin","Bernard, Peter","n",
"Roman, Michael Walter","Pacific Pilotage Authority","Govenor In Council Appointments","Roman, Michael Walter","Roman, Michael","n",
"Kenny, Marilyn Anne","Parole Board of Canada","Govenor In Council Appointments","Kenny, Marilyn Anne","Kenny, Marilyn","n",
"Lindberg, Mary Catherine","Patented Medicine Prices Review Board","Govenor In Council Appointments","Lindberg, Mary Catherine","Lindberg, Mary","n",
"Bourgeois, Guy Jean","Payments in lieu of Taxes Dispute Advisory Panel","Govenor In Council Appointments","Bourgeois, Guy Jean","Bourgeois, Guy","n",
"Gerein, Gerald Joseph John","Payments in lieu of Taxes Dispute Advisory Panel","Govenor In Council Appointments","Gerein, Gerald Joseph John","Gerein, Gerald","n",
"Tedstone, Neil Kenneth","Payments in lieu of Taxes Dispute Advisory Panel","Govenor In Council Appointments","Tedstone, Neil Kenneth","Tedstone, Neil","n",
"Haggard, Allan Robert","Port Alberni Port Authority","Govenor In Council Appointments","Haggard, Allan Robert","Haggard, Allan","n",
"Bromley, David Edward George","Ridley Terminals Inc.","Govenor In Council Appointments","Bromley, David Edward George","Bromley, David","n",
"Giraud, Thomas Sewell Byng","Ridley Terminals Inc.","Govenor In Council Appointments","Giraud, Thomas Sewell Byng","Giraud, Thomas","n",
"Brewer, Philip Carroll","Saint John Port Authority","Govenor In Council Appointments","Brewer, Philip Carroll","Brewer, Philip","n",
"Bugden, Martin Henry","Social Security Tribunal","Govenor In Council Appointments","Bugden, Martin Henry","Bugden, Martin","n",
"Eberhard, John Janes","Social Security Tribunal","Govenor In Council Appointments","Eberhard, John Janes","Eberhard, John","n",
"Jaenen, Teresa Diane","Social Security Tribunal","Govenor In Council Appointments","Jaenen, Teresa Diane","Jaenen, Teresa","n",
"McCarthy, John Gerard","Social Security Tribunal","Govenor In Council Appointments","McCarthy, John Gerard","McCarthy, John","n",
"Mellott, Jaime Lynne","Social Security Tribunal","Govenor In Council Appointments","Mellott, Jaime Lynne","Mellott, Jaime","n",
"Moore, Michael Tyler","Social Security Tribunal","Govenor In Council Appointments","Moore, Michael Tyler","Moore, Michael","n",
"Zwiers, Nicole Irena","Social Security Tribunal","Govenor In Council Appointments","Zwiers, Nicole Irena","Zwiers, Nicole","n",
"Rigato, Emilio Frank","Thunder Bay Port Authority","Govenor In Council Appointments","Rigato, Emilio Frank","Rigato, Emilio","n",
"Kerfoot, Carol Alexandra","Vancouver Fraser Port Authority","Govenor In Council Appointments","Kerfoot, Carol Alexandra","Kerfoot, Carol","n",
"Materi, Ramona Rosanne","VIA Rail Canada Inc.","Govenor In Council Appointments","Materi, Ramona Rosanne","Materi, Ramona","n",
"DeLuca, Bianca Mary","Windsor Port Authority","Govenor In Council Appointments","DeLuca, Bianca Mary","DeLuca, Bianca","n",
"Ghanam, Denise Clair","Windsor Port Authority","Govenor In Council Appointments","Ghanam, Denise Clair","Ghanam, Denise","n",
"Porter, Thomas Robert","Windsor Port Authority","Govenor In Council Appointments","Porter, Thomas Robert","Porter, Thomas","n",
"Jenkins, Paul Thomas (Tom)","National Research Council of Canada","Govenor In Council Appointments","Jenkins, Paul Thomas","Jenkins, Paul","duplicate",
"Falcon, Kevin Matthew","Asia-Pacific Foundation of Canada","Govenor In Council Appointments","Falcon, Kevin Matthew","Falcon, Kevin","n",
"Whyte, Patric Francis","Canada Industrial Relations Board","Govenor In Council Appointments","Whyte, Patric Francis","Whyte, Patric","n",
"Wallis, Peter Cardon","Canadian Air Transport Security Authority","Govenor In Council Appointments","Wallis, Peter Cardon","Wallis, Peter","n",
"Peart, Andrea Lea","Canadian Centre for Occupational Health and Safety","Govenor In Council Appointments","Peart, Andrea Lea","Peart, Andrea","n",
"Winters, Troy William","Canadian Centre for Occupational Health and Safety","Govenor In Council Appointments","Winters, Troy William","Winters, Troy","n",
"Dale, Anthony John","Canadian Museum for Human Rights","Govenor In Council Appointments","Dale, Anthony John","Dale, Anthony","n",
"Fox, Kathleen Carol","Canadian Transportation Accident Investigation and Safety Board","Govenor In Council Appointments","Fox, Kathleen Carol","Fox, Kathleen","n",
"Klein, Lilian Ruth","Citizenship Commission","Govenor In Council Appointments","Klein, Lilian Ruth","Klein, Lilian","n",
"Ouellet, Jean Marc","Defence Construction (1951) Limited","Govenor In Council Appointments","Ouellet, Jean Marc","Ouellet, Jean","n",
"Mason, Lesley Elizabeth","Immigration and Refugee Board","Govenor In Council Appointments","Mason, Lesley Elizabeth","Mason, Lesley","n",
"McRae, Gordon Christopher","Immigration and Refugee Board","Govenor In Council Appointments","McRae, Gordon Christopher","McRae, Gordon","n",
"Paul, Noeline Sujithra","Immigration and Refugee Board","Govenor In Council Appointments","Paul, Noeline Sujithra","Paul, Noeline","n",
"Caddey, David Neil","Independent Review Panel for Defence Acquisition","Govenor In Council Appointments","Caddey, David Neil","Caddey, David","n",
"Fraser, James Douglas","International Commission on the Conservation of Atlantic Tunas","Govenor In Council Appointments","Fraser, James Douglas","Fraser, James","n",
"Griffin, Paul John","Marine Atlantic Inc.","Govenor In Council Appointments","Griffin, Paul John","Griffin, Paul","n",
"Etsell, Debra Ann","National Farm Products Council","Govenor In Council Appointments","Etsell, Debra Ann","Etsell, Debra","n",
"Duffy, Leonie Napa","National Seniors Council","Govenor In Council Appointments","Duffy, Leonie Napa","Duffy, Leonie","n",
"Valcour, Gary Franklin","Oshawa Port Authority","Govenor In Council Appointments","Valcour, Gary Franklin","Valcour, Gary","n",
"Ranger, Allan John","Pacific Pilotage Authority","Govenor In Council Appointments","Ranger, Allan John","Ranger, Allan","n",
"Dodds, Murray Allan","Parole Board of Canada","Govenor In Council Appointments","Dodds, Murray Allan","Dodds, Murray","n",
"Heming, Keith Ian Munro","Parole Board of Canada","Govenor In Council Appointments","Heming, Keith Ian Munro","Heming, Keith","n",
"Muzyka, Grace Alexandra","Payments in lieu of Taxes Dispute Advisory Panel","Govenor In Council Appointments","Muzyka, Grace Alexandra","Muzyka, Grace","n",
"Wilson, James Scott","Payments in lieu of Taxes Dispute Advisory Panel","Govenor In Council Appointments","Wilson, James Scott","Wilson, James","n",
"Crema, Ronald Victor","Port Alberni Port Authority","Govenor In Council Appointments","Crema, Ronald Victor","Crema, Ronald","n",
"Kirk, Gillian Gail","Ridley Terminals Inc.","Govenor In Council Appointments","Kirk, Gillian Gail","Kirk, Gillian","n",
"Kirsop, David Jonathan","Ridley Terminals Inc.","Govenor In Council Appointments","Kirsop, David Jonathan","Kirsop, David","n",
"MacRae, Roger Kirk","Royal Canadian Mint","Govenor In Council Appointments","MacRae, Roger Kirk","MacRae, Roger","n",
"Holloway, Ian Carl","Security Intelligence Review Committee","Govenor In Council Appointments","Holloway, Ian Carl","Holloway, Ian","n",
"McLean, Cyril Eugene","Security Intelligence Review Committee","Govenor In Council Appointments","McLean, Cyril Eugene","McLean, Cyril","n",
"Barnes, Barry David","Social Security Tribunal","Govenor In Council Appointments","Barnes, Barry David","Barnes, Barry","n",
"Byrne, Lianne Marcella","Social Security Tribunal","Govenor In Council Appointments","Byrne, Lianne Marcella","Byrne, Lianne","n",
"Daniels, Judy Deloris","Social Security Tribunal","Govenor In Council Appointments","Daniels, Judy Deloris","Daniels, Judy","n",
"Glover, Jason George","Social Security Tribunal","Govenor In Council Appointments","Glover, Jason George","Glover, Jason","n",
"Johnson, Glen John","Social Security Tribunal","Govenor In Council Appointments","Johnson, Glen John","Johnson, Glen","n",
"Legere, Leroy Joseph","Social Security Tribunal","Govenor In Council Appointments","Legere, Leroy Joseph","Legere, Leroy","n",
"Parker, Shane Robert","Social Security Tribunal","Govenor In Council Appointments","Parker, Shane Robert","Parker, Shane","n",
"Picotte, Adam Thomas","Social Security Tribunal","Govenor In Council Appointments","Picotte, Adam Thomas","Picotte, Adam","n",
"Provo, Dwayne Anthony","Social Security Tribunal","Govenor In Council Appointments","Provo, Dwayne Anthony","Provo, Dwayne","n",
"Dowd, Patrick Terrence","Transportation Appeal Tribunal of Canada","Govenor In Council Appointments","Dowd, Patrick Terrence","Dowd, Patrick","n",
"Olson, Arnold Marvin","Transportation Appeal Tribunal of Canada","Govenor In Council Appointments","Olson, Arnold Marvin","Olson, Arnold","n",
"Safran, Laura Marilyn","Transportation Appeal Tribunal of Canada","Govenor In Council Appointments","Safran, Laura Marilyn","Safran, Laura","n",
"Wilson, James Brook","Treaty Relations Commission of Manitoba","Govenor In Council Appointments","Wilson, James Brook","Wilson, James","n",
"Maher, Edmond Fraser","Veterans Review and Appeal Board","Govenor In Council Appointments","Maher, Edmond Fraser","Maher, Edmond","n",
"Small, Bonita Mary","Veterans Review and Appeal Board","Govenor In Council Appointments","Small, Bonita Mary","Small, Bonita","n",
"Watt, Robert Douglas","Advisory Committee on Vice-Regal Appointments,Citizenship Commission","Govenor In Council Appointments","Watt, Robert Douglas","Watt, Robert","n",
"Walsh, Grant Byron","Canada Lands Company Limited","Govenor In Council Appointments","Walsh, Grant Byron","Walsh, Grant","n",
"Hawn, Laurie Daniel","Canada-US Permanent Joint Board on Defence","Govenor In Council Appointments","Hawn, Laurie Daniel","Hawn, Laurie","n",
"Miles, Diana Lynn","Canadian Centre for Occupational Health and Safety","Govenor In Council Appointments","Miles, Diana Lynn","Miles, Diana","n",
"Nairne, Ross William","Canadian Centre for Occupational Health and Safety","Govenor In Council Appointments","Nairne, Ross William","Nairne, Ross","n",
"Knott, Susan Jane","Canadian Museum of Nature","Govenor In Council Appointments","Knott, Susan Jane","Knott, Susan","n",
"Dodge, Diana Lee","Federal Bridge Corporation Limited (The)","Govenor In Council Appointments","Dodge, Diana Lee","Dodge, Diana","n",
"Pound, James Donald","Great Lakes Pilotage Authority","Govenor In Council Appointments","Pound, James Donald","Pound, James","n",
"Lerner, Ivan Mark","Immigration and Refugee Board","Govenor In Council Appointments","Lerner, Ivan Mark","Lerner, Ivan","n",
"Carlin, Glen Patrick","Jacques Cartier and Champlain Bridges Incorporated (The)","Govenor In Council Appointments","Carlin, Glen Patrick","Carlin, Glen","n",
"Cope, Audrey Cynthia","Nanaimo Port Authority","Govenor In Council Appointments","Cope, Audrey Cynthia","Cope, Audrey","n",
"Cohen, David James","National Museum of Science and Technology","Govenor In Council Appointments","Cohen, David James","Cohen, David","n",
"Dawson, Mary Elizabeth","Office of the Conflict of Interest and Ethics Commissioner","Govenor In Council Appointments","Dawson, Mary Elizabeth","Dawson, Mary","n",
"Singh, Peter Ganga","Oshawa Port Authority","Govenor In Council Appointments","Singh, Peter Ganga","Singh, Peter","n",
"Allan, Craig Michael","Parole Board of Canada","Govenor In Council Appointments","Allan, Craig Michael","Allan, Craig","n",
"King, Aletta Anne","Payments in lieu of Taxes Dispute Advisory Panel","Govenor In Council Appointments","King, Aletta Anne","King, Aletta","n",
"Lunau, Karey Anne","Payments in lieu of Taxes Dispute Advisory Panel","Govenor In Council Appointments","Lunau, Karey Anne","Lunau, Karey","n",
"Olsen, David Paul","Public Service Labour Relations and Employment Board","Govenor In Council Appointments","Olsen, David Paul","Olsen, David","n",
"Kowal, Harry James","Royal Military College of Canada","Govenor In Council Appointments","Kowal, Harry James","Kowal, Harry","n",
"Cooke, Glenn Bruce","Saint John Port Authority","Govenor In Council Appointments","Cooke, Glenn Bruce","Cooke, Glenn","n",
"Keenan, Lisa Ann Kathleen","Saint John Port Authority","Govenor In Council Appointments","Keenan, Lisa Ann Kathleen","Keenan, Lisa","n",
"Peters, John Gregory","Senate","Govenor In Council Appointments","Peters, John Gregory","Peters, John","n",
"Andal, Ramon Valenton","Social Security Tribunal","Govenor In Council Appointments","Andal, Ramon Valenton","Andal, Ramon","n",
"Demers, Paul Jean","Social Security Tribunal","Govenor In Council Appointments","Demers, Paul Jean","Demers, Paul","n",
"Dyck, Connie Lee","Social Security Tribunal","Govenor In Council Appointments","Dyck, Connie Lee","Dyck, Connie","n",
"Lyn, Leonard Raphael","Social Security Tribunal","Govenor In Council Appointments","Lyn, Leonard Raphael","Lyn, Leonard","n",
"Noonan, John Valentine","Social Security Tribunal","Govenor In Council Appointments","Noonan, John Valentine","Noonan, John","n",
"Samson, Jude Pierre","Social Security Tribunal","Govenor In Council Appointments","Samson, Jude Pierre","Samson, Jude","n",
"Somer, David Joel","Social Security Tribunal","Govenor In Council Appointments","Somer, David Joel","Somer, David","n",
"Truong, Anna Anh Kim Dang","Social Security Tribunal","Govenor In Council Appointments","Truong, Anna Anh Kim Dang","Truong, Anna","n",
"Yufe, Alyssa Joy","Social Security Tribunal","Govenor In Council Appointments","Yufe, Alyssa Joy","Yufe, Alyssa","n",
"Hodder, John Walter","St. John's Port Authority","Govenor In Council Appointments","Hodder, John Walter","Hodder, John","n",
"Bloom, Corey Anne","Telefilm Canada","Govenor In Council Appointments","Bloom, Corey Anne","Bloom, Corey","n",
"Skene, Bonny Lynn","Thunder Bay Port Authority","Govenor In Council Appointments","Skene, Bonny Lynn","Skene, Bonny","n",
"Kirby, Sarah Margaret","Transportation Appeal Tribunal of Canada","Govenor In Council Appointments","Kirby, Sarah Margaret","Kirby, Sarah","n",
"Pugh, George Ernest","Transportation Appeal Tribunal of Canada","Govenor In Council Appointments","Pugh, George Ernest","Pugh, George","n",
"Sehmer, John Michael","Transportation Appeal Tribunal of Canada","Govenor In Council Appointments","Sehmer, John Michael","Sehmer, John","n",
"Kwan, Eugene Hsiao Yu","Vancouver Fraser Port Authority","Govenor In Council Appointments","Kwan, Eugene Hsiao Yu","Kwan, Eugene","n",
"Landry, Paul Robert","Vancouver Fraser Port Authority","Govenor In Council Appointments","Landry, Paul Robert","Landry, Paul","n",
"Rowe, Allan Duncan","Canadian Air Transport Security Authority","Govenor In Council Appointments","Rowe, Allan Duncan","Rowe, Allan","n",
"Young, John Fitzgerald","Canadian Museum for Human Rights","Govenor In Council Appointments","Young, John Fitzgerald","Young, John","n",
"Paul, James Stewart","Defence Construction (1951) Limited","Govenor In Council Appointments","Paul, James Stewart","Paul, James","n",
"Rose, Elana Nancy","Immigration and Refugee Board","Govenor In Council Appointments","Rose, Elana Nancy","Rose, Elana","n",
"Gaal, Sonia Anne-Marie Ingrid","Military Grievances External Review Committee","Govenor In Council Appointments","Gaal, Sonia Anne-Marie Ingrid","Gaal, Sonia","n",
"Hais, Donna Marie","Nanaimo Port Authority","Govenor In Council Appointments","Hais, Donna Marie","Hais, Donna","n",
"Smith, Lisa Marie","National Seniors Council","Govenor In Council Appointments","Smith, Lisa Marie","Smith, Lisa","n",
"Boyer, Jean Claude","Parole Board of Canada","Govenor In Council Appointments","Boyer, Jean Claude","Boyer, Jean","n",
"Hart, James Alexander","Parole Board of Canada","Govenor In Council Appointments","Hart, James Alexander","Hart, James","n",
"Young, Paul Robert","Payments in lieu of Taxes Dispute Advisory Panel","Govenor In Council Appointments","Young, Paul Robert","Young, Paul","n",
"Mintz, Jack Maurice","Social Sciences and Humanities Research Council","Govenor In Council Appointments","Mintz, Jack Maurice","Mintz, Jack","n",
"Borer, Mark Steven","Social Security Tribunal","Govenor In Council Appointments","Borer, Mark Steven","Borer, Mark","n",
"Clark, Anne Shirley","Social Security Tribunal","Govenor In Council Appointments","Clark, Anne Shirley","Clark, Anne","n",
"Day, Teresa Marguerite","Social Security Tribunal","Govenor In Council Appointments","Day, Teresa Marguerite","Day, Teresa","n",
"Nawaz, Neil Parvaiz","Social Security Tribunal","Govenor In Council Appointments","Nawaz, Neil Parvaiz","Nawaz, Neil","n",
"Snook, Sara Jane","Standards Council of Canada","Govenor In Council Appointments","Snook, Sara Jane","Snook, Sara","n",
"Power, John David","Supreme Court of Canada","Govenor In Council Appointments","Power, John David","Power, John","n",
"Dubé, Jean Guy","Belledune Port Authority","Govenor In Council Appointments","Dubé, Jean Guy","Dubé, Jean","n",1
"West, Lori Jeanne","Canadian Institutes of Health Research","Govenor In Council Appointments","West, Lori Jeanne","West, Lori","n",
"Mood, Cory Carl","International Commission on the Conservation of Atlantic Tunas","Govenor In Council Appointments","Mood, Cory Carl","Mood, Cory","n",
"Rai, Oudit Narine","Social Security Tribunal","Govenor In Council Appointments","Rai, Oudit Narine","Rai, Oudit","n",
"Rose, John Franklin Leonard","Social Security Tribunal","Govenor In Council Appointments","Rose, John Franklin Leonard","Rose, John","n",
"Smith, Roy Grant","Social Security Tribunal","Govenor In Council Appointments","Smith, Roy Grant","Smith, Roy","n",
"Wake, John David","Social Security Tribunal","Govenor In Council Appointments","Wake, John David","Wake, John","n",
"Wong, Jane Yee-Ching","Social Security Tribunal","Govenor In Council Appointments","Wong, Jane Yee-Ching","Wong, Jane","n",
"Rix, Craig Stuart","Windsor-Detroit Bridge Authority","Govenor In Council Appointments","Rix, Craig Stuart","Rix, Craig","n",
"Zurel, Jo Mark","Canada Pension Plan Investment Board","Govenor In Council Appointments","Zurel, Jo Mark","Zurel, Jo","n",
"Choi, Kin Nang","Canadian Centre for Occupational Health and Safety","Govenor In Council Appointments","Choi, Kin Nang","Choi, Kin","n",
"Kwan, Tim Wing","National Seniors Council","Govenor In Council Appointments","Kwan, Tim Wing","Kwan, Tim","n",
"Raju, Ram Krishna","Telefilm Canada","Govenor In Council Appointments","Raju, Ram Krishna","Raju, Ram","n",
"An, Lan Tuyet","Social Security Tribunal","Govenor In Council Appointments","An, Lan Tuyet","An, Lan","n",
"Alexandra Bugailiskis","Ambassador to ÊPoland??","Ambassador","Bugailiskis, Alexandra","Bugailiskis, Alexandra","n",
"Alexandre Lévèque","Ambassador to ??","Ambassador","Lévèque, Alexandre","Lévèque, Alexandre","n",
"Allan Culham","Ambassador to Organization of American States??","Ambassador","Culham, Allan","Culham, Allan","n",
"Andre Dubois","Ambassador to ÊQatar??","Ambassador","Dubois, Andre","Dubois, Andre","n",
"André Franèois Giroux","Ambassador to ÊDenmark??","Ambassador","Giroux, André","Giroux, André","n",
"Arif Lalani","Ambassador to ÊFinland??","Ambassador","Lalani, Arif","Lalani, Arif","n",
"Ben Rowswell","Ambassador to ÊUnited Arab Emirates??","Ambassador","Rowswell, Ben","Rowswell, Ben","n",
"Bruno Saccomani","Ambassador to ÊAngola??","Ambassador","Saccomani, Bruno","Saccomani, Bruno","n",
"Carmen Sylvain","Ambassador to ÊVenezuela??","Ambassador","Sylvain, Carmen","Sylvain, Carmen","n",
"Christopher Thornley","Ambassador to ??","Ambassador","Thornley, Christopher","Thornley, Christopher","n",
"Claire Poulin","Ambassador to ÊColombia??","Ambassador","Poulin, Claire","Poulin, Claire","n",
"David Angell","Ambassador to ??","Ambassador","Angell, David","Angell, David","n",
"David Devine","Ambassador to ??","Ambassador","Devine, David","Devine, David","n",
"David Plunkett","Ambassador to ÊUruguay??","Ambassador","Plunkett, David","Plunkett, David","n",
"David Sproule","Ambassador to ÊKenya??","Ambassador","Sproule, David","Sproule, David","n",
"David Usher","Ambassador to ÊVietnam??","Ambassador","Usher, David","Usher, David","n",
"Deborah Lyons","Ambassador to ÊEuropean Union??","Ambassador","Lyons, Deborah","Lyons, Deborah","n",
"Denis Robert","Ambassador to ÊNorway??","Ambassador","Robert, Denis","Robert, Denis","n",
"Donald Bobiash","Ambassador to ??","Ambassador","Bobiash, Donald","Bobiash, Donald","n",
"Elissa Golberg","Ambassador to ÊAfghanistan??","Ambassador","Golberg, Elissa","Golberg, Elissa","n",
"Eric Walsh","Ambassador to ÊBelgium??","Ambassador","Walsh, Eric","Walsh, Eric","n",
"Gaston Barban","Ambassador to ??","Ambassador","Barban, Gaston","Barban, Gaston","n",
"Georges Boissé","Ambassador to ??","Ambassador","Boissé, Georges","Boissé, Georges","n",
"Gérard Latulippe","Ambassador to ÊUnited Nations (Geneva)??","Ambassador","Latulippe, Gérard","Latulippe, Gérard","n",
"Greg Giokas","Ambassador to ÊSouth Korea??","Ambassador","Giokas, Greg","Giokas, Greg","n",
"Heather A. Grant","Ambassador to ÊEgypt??","Ambassador","Grant, Heather","Grant, Heather","n",
"Isabelle Poupart","Ambassador to ÊUnited States??","Ambassador","Poupart, Isabelle","Poupart, Isabelle","n",
"Jamal Khokhar","Ambassador to ??","Ambassador","Khokhar, Jamal","Khokhar, Jamal","n",
"Jeffrey Marder","Ambassador to ÊDominican Republic??","Ambassador","Marder, Jeffrey","Marder, Jeffrey","n",
"Jennifer MacIntyre","Ambassador to ÊTrinidad and Tobago  ??","Ambassador","MacIntyre, Jennifer","MacIntyre, Jennifer","n",
"Joanne Lemay","Ambassador to ÊUnited Kingdom  ??","Ambassador","Lemay, Joanne","Lemay, Joanne","n",
"John R. Kur","Ambassador to ÊPakistan  ??","Ambassador","Kur, John","Kur, John","n",
"Jon Allen","Ambassador to ÊUnited Nations (New York City)??","Ambassador","Allen, Jon","Allen, Jon","n",
"Jonathan Fried","Ambassador to ÊChina??","Ambassador","Fried, Jonathan","Fried, Jonathan","n",
"Judith St. George","Ambassador to ÊSingapore??","Ambassador","St.George, Judith","St.George, Judith","n",
"Kenneth Macartney","Ambassador to ÊLebanon??","Ambassador","Macartney, Kenneth","Macartney, Kenneth","n",
"Lisa Helfand","Ambassador to Organization for Security and Cooperation in Europe??","Ambassador","Helfand, Lisa","Helfand, Lisa","n",
"Louis de Lorimier","Ambassador to ÊMongolia??","Ambassador","Lorimier, Louis","Lorimier, Louis","n",
"Louise LaRocque","Ambassador to ??","Ambassador","LaRocque, Louise","LaRocque, Louise","n",
"Mackenzie Clugston","Ambassador to ÊBrazil??","Ambassador","Clugston, Mackenzie","Clugston, Mackenzie","n",
"Marcel Gaumond","Ambassador to ÊAlbania??","Ambassador","Gaumond, Marcel","Gaumond, Marcel","n",
"Marie Gervais-Vidricaire","Ambassador to ÊNetherlands??","Ambassador","Gervais-Vidricaire, Marie","Gervais-Vidricaire, Marie","n",
"Mark Bailey","Ambassador to ÊPortugal??","Ambassador","Bailey, Mark","Bailey, Mark","n",
"Mark McDowell","Ambassador to ÊÊSwitzerland??","Ambassador","McDowell, Mark","McDowell, Mark","n",
"Michael Grant","Ambassador to ??","Ambassador","Grant, Michael","Grant, Michael","n",
"Neil Reeder","Ambassador to ??","Ambassador","Reeder, Neil","Reeder, Neil","n",
"Nicole Giles","Ambassador to ??","Ambassador","Giles, Nicole","Giles, Nicole","n",
"Otto Jelinek","Ambassador to ??","Ambassador","Jelinek, Otto","Jelinek, Otto","n",
"Pamela O'Donnell","Ambassador to World Trade Organization??","Ambassador","O'Donnell, Pamela","O'Donnell, Pamela","n",
"Patricia Fortier","Ambassador to ÊMalaysia  ??","Ambassador","Fortier, Patricia","Fortier, Patricia","n",
"Patricia Fuller","Ambassador to ÊTaiwan à??","Ambassador","Fuller, Patricia","Fuller, Patricia","n",
"Patrick Parisot","Ambassador to ÊSweden??","Ambassador","Parisot, Patrick","Parisot, Patrick","n",
"Perry Calderwood","Ambassador to ÊIreland??","Ambassador","Calderwood, Perry","Calderwood, Perry","n",
"Peter McGovern","Ambassador to ÊFrance??","Ambassador","McGovern, Peter","McGovern, Peter","n",
"Philip Calvert","Ambassador to ÊHungary??","Ambassador","Calvert, Philip","Calvert, Philip","n",
"Philippe Beaulne","Ambassador to ÊMali??","Ambassador","Beaulne, Philippe","Beaulne, Philippe","n",
"Pierre Giroux","Ambassador to ÊBurkina Faso??","Ambassador","Giroux, Pierre","Giroux, Pierre","n",
"Richard Hanley","Ambassador to ??","Ambassador","Hanley, Richard","Hanley, Richard","n",
